frame,pa_x,pa_y,pa_z,po_a,po_x,po_y,po_z,pav_x,pav_y,pav_z,rsa_x,rsa_y,rsa_z,rso_a,rso_x,rso_y,rso_z,rsav_x,rsav_y,rsav_z,lsa_x,lsa_y,lsa_z,lso_a,lso_x,lso_y,lso_z,lsav_x,lsav_y,lsav_z,lula_x,lula_y,lula_z,lulo_a,lulo_x,lulo_y,lulo_z,lulav_x,lulav_y,lulav_z,llla_x,llla_y,llla_z,lllo_a,lllo_x,lllo_y,lllo_z,lllav_x,lllav_y,lllav_z,lfa_x,lfa_y,lfa_z,lfo_a,lfo_x,lfo_y,lfo_z,lfav_x,lfav_y,lfav_z,label,subject_id
21,1.225489,0.668869,0.93215,0.776082,-0.218712,-0.205571,0.554619,-0.582033,-1.511402,-0.679947,-2.022105,0.033981,1.607021,0.283687,-0.148622,0.258975,-0.911244,-0.962158,-1.33475,-0.447974,-1.705198,0.072347,1.885504,0.773185,-0.329811,0.114091,-0.529522,0.140218,-2.006589,-0.242844,0.513498,-2.258655,1.833241,0.164947,-0.153279,0.644209,0.730953,-0.841429,-0.027779,-0.656073,0.513498,-2.258655,1.833241,0.164947,-0.153279,0.644209,0.730953,0.303556,-0.617695,-0.510406,-0.449729,-0.231197,-0.011671,0.307334,-0.166036,-0.207224,-0.913803,0.140218,-2.006589,-0.242844,0,1
22,0.664288,-0.157357,-0.25977,0.775921,-0.230383,-0.211267,0.547938,-0.542906,-1.483396,-0.755011,-2.170891,0.021229,1.53251,0.281648,-0.139976,0.249376,-0.915911,-0.933972,-1.2976,-0.484385,-1.863991,-0.137945,1.401243,0.774393,-0.319676,0.101659,-0.536458,0.100937,-2.092627,-0.222007,-0.57413,-1.513944,1.488391,0.169369,-0.147581,0.64786,0.727882,-0.3656,0.170052,-0.949464,-0.57413,-1.513944,1.488391,0.169369,-0.147581,0.64786,0.727882,0.346768,-0.647745,-0.465899,0.1163,-0.561036,0.267102,0.306945,-0.164654,-0.204939,-0.914699,0.100937,-2.092627,-0.222007,0,1
23,0.190079,-0.771192,-1.485159,0.775554,-0.24212,-0.218264,0.540606,-0.452539,-1.632094,-0.76771,-2.362054,0.180318,1.278692,0.279382,-0.130261,0.238957,-0.920803,-0.998413,-1.439856,-0.535028,-1.912892,-0.231751,1.139745,0.775255,-0.309211,0.089025,-0.543546,0.103723,-2.134267,-0.254793,-0.721868,-0.408599,0.676345,0.174674,-0.141023,0.649131,0.726794,0.02961,0.163413,-1.010972,-0.721868,-0.408599,0.676345,0.174674,-0.141023,0.649131,0.726794,0.307065,-0.681878,-0.347874,0.183171,-0.032447,0.128016,0.306922,-0.163574,-0.202434,-0.915458,0.103723,-2.134267,-0.254793,0,1
24,-0.180761,-1.753902,-2.086093,0.774976,-0.25391,-0.225462,0.533019,-0.443676,-1.667177,-0.773166,-2.799608,0.38116,0.831455,0.277434,-0.118422,0.227395,-0.925904,-1.054603,-1.725361,-0.549718,-2.718285,-0.46767,0.841995,0.775491,-0.298985,0.076704,-0.550761,0.077606,-2.087482,-0.316592,-0.597065,-0.049205,-0.281723,0.179999,-0.13512,0.648844,0.726873,0.242952,0.091764,-0.910934,-0.597065,-0.049205,-0.281723,0.179999,-0.13512,0.648844,0.726873,0.262152,-0.697518,-0.168379,-0.142965,0.470432,0.059677,0.306829,-0.162758,-0.200544,-0.91605,0.077606,-2.087482,-0.316592,0,1
25,-0.821033,-2.862836,-2.11148,0.772482,-0.26235,-0.231113,0.530124,-0.457721,-1.622203,-0.715241,-3.806229,0.353556,0.279646,0.279509,-0.103832,0.214162,-0.930176,-1.195223,-2.325865,-0.527141,-4.215175,-0.591704,0.133395,0.776143,-0.286842,0.062343,-0.558065,0.116552,-2.330261,-0.250493,-0.585059,0.173585,-0.796224,0.185143,-0.128575,0.65061,0.725187,0.195229,0.052337,-0.674747,-0.585059,0.173585,-0.796224,0.185143,-0.128575,0.65061,0.725187,0.242282,-0.661523,-0.014935,-0.113572,0.448506,0.011572,0.307668,-0.161765,-0.196154,-0.916895,0.116552,-2.330261,-0.250493,0,1
26,-0.383353,-3.562098,-1.92296,0.770918,-0.273021,-0.238243,0.523818,-0.404904,-1.578872,-0.561677,-3.137054,-0.081126,0.011058,0.279117,-0.084662,0.197523,-0.935901,-1.363105,-2.765409,-0.525448,-4.112407,-0.446133,-0.466348,0.777154,-0.273629,0.045305,-0.564894,0.072112,-2.71851,-0.089533,-0.336286,-0.368969,-0.932045,0.186968,-0.126088,0.650655,0.725116,0.072236,0.069721,-0.348222,-0.336286,-0.368969,-0.932045,0.186968,-0.126088,0.650655,0.725116,0.203644,-0.581121,-0.050564,-0.133022,-0.019028,0.058515,0.307454,-0.161471,-0.196029,-0.917045,0.072112,-2.71851,-0.089533,0,1
27,-0.266018,-3.760115,-1.302704,0.769036,-0.282472,-0.244891,0.518479,-0.360348,-1.435052,-0.433154,-2.478717,-0.162741,-0.604641,0.278803,-0.068953,0.180663,-0.940678,-1.480437,-2.376217,-0.400399,-3.539662,-0.273241,-1.201352,0.778334,-0.259214,0.026223,-0.571241,0.054299,-2.975655,0.027375,-0.011547,-0.742562,-1.113755,0.186642,-0.125296,0.65147,0.724605,-0.099783,0.100863,-0.050267,-0.011547,-0.742562,-1.113755,0.186642,-0.125296,0.65147,0.724605,0.216773,-0.556781,-0.123577,0.019505,-0.413979,0.083859,0.307299,-0.161241,-0.195941,-0.917156,0.054299,-2.975655,0.027375,0,1
28,0.282819,-3.875414,-0.687215,0.766795,-0.291666,-0.251226,0.513656,-0.38323,-1.383239,-0.36604,-2.629713,-0.187119,-0.996864,0.278284,-0.054027,0.163787,-0.944888,-1.497769,-2.279492,-0.387293,-2.805778,-0.048904,-1.217397,0.779264,-0.245078,0.006543,-0.576751,-0.017358,-2.985656,0.107894,0.155205,-1.134653,-1.044672,0.184928,-0.125999,0.653366,0.723214,-0.316859,0.090381,0.151473,0.155205,-1.134653,-1.044672,0.184928,-0.125999,0.653366,0.723214,0.250041,-0.531148,-0.152783,-0.046158,-0.233734,0.01064,0.307233,-0.161033,-0.195723,-0.917262,-0.017358,-2.985656,0.107894,0,1
29,0.772847,-3.313405,-0.101877,0.764558,-0.299273,-0.25707,0.509707,-0.293614,-1.209609,-0.255223,-2.228606,-0.31902,-1.134051,0.277118,-0.040062,0.148458,-0.948452,-1.345825,-2.101915,-0.429823,-2.435289,-0.438314,-1.604846,0.779832,-0.231166,-0.014327,-0.581565,-0.130466,-3.060734,0.183112,0.511663,-1.331682,-0.436967,0.182293,-0.128215,0.656132,0.720986,-0.505457,0.038115,0.318239,0.511663,-1.331682,-0.436967,0.182293,-0.128215,0.656132,0.720986,0.304635,-0.526145,-0.160434,-0.046617,0.079186,-0.09915,0.307655,-0.160929,-0.196036,-0.917071,-0.130466,-3.060734,0.183112,0,1
30,0.87829,-2.330274,0.439129,0.761902,-0.306687,-0.263095,0.506191,-0.293156,-1.211907,-0.177206,-1.987785,-0.335055,-1.875868,0.275981,-0.026396,0.132659,-0.951598,-1.401632,-2.082106,-0.404729,-1.694085,-0.753644,-1.815893,0.780102,-0.216826,-0.035543,-0.585802,-0.123151,-3.107492,0.226723,0.446804,-1.594327,0.296849,0.17898,-0.131281,0.659859,0.717857,-0.688522,0.024986,0.409469,0.446804,-1.594327,0.296849,0.17898,-0.131281,0.659859,0.717857,0.318345,-0.501647,-0.170024,0.199066,-0.141904,0.112832,0.311647,-0.161959,-0.197492,-0.915228,-0.123151,-3.107492,0.226723,0,1
